flight_id,flight_date,aircraft_registration,route_id,origin,destination,left_engine_serial_number,right_engine_serial_number,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_duration_min,block_hours,air_hours,flight_cycles,weather,delay_minutes,flight_status
11,2025-12-26,VT-JAA026,R023,HYD,VGA,ESN700053,ESN700054,2025-12-26 19:00:00,2025-12-26 20:36:00,2025-12-26 19:40:00,2025-12-26 21:16:00,40,0.6666666666666666,0.6666666666666666,1,STORM,96,COMPLETED
12,2025-07-14,VT-JAA004,R011,BOM,MAA,ESN700010,ESN700011,2025-07-14 03:00:00,2025-07-14 03:00:00,2025-07-14 04:55:00,2025-07-14 04:55:00,115,1.9166666666666667,1.9166666666666667,1,FOG,0,COMPLETED
13,2025-09-26,VT-JAA024,R011,BOM,MAA,ESN700049,ESN700050,2025-09-26 15:00:00,2025-09-26 15:22:00,2025-09-26 16:55:00,2025-09-26 17:17:00,115,1.9166666666666667,1.9166666666666667,1,CLOUDY,22,COMPLETED
14,2025-01-19,VT-JAA005,R024,HYD,CCU,ESN700012,ESN700013,2025-01-19 11:00:00,2025-01-19 11:12:00,2025-01-19 13:00:00,2025-01-19 13:12:00,120,2.0,2.0,1,STORM,12,DELAYED
15,2025-12-20,VT-JAA018,R053,DEL,KTM,ESN700038,ESN700040,2025-12-20 09:00:00,2025-12-20 09:13:00,2025-12-20 10:30:00,2025-12-20 10:43:00,90,1.5,1.5,1,RAIN,13,COMPLETED
16,2025-12-18,VT-JAA029,R036,DEL,DXB,ESN700057,ESN700058,2025-12-18 10:00:00,2025-12-18 10:00:00,2025-12-18 13:30:00,2025-12-18 13:30:00,210,3.5,3.5,1,CLEAR,0,DELAYED
17,2025-02-18,VT-JAA016,R040,MAA,CMB,ESN700034,ESN700037,2025-02-18 01:00:00,2025-02-18 02:54:00,2025-02-18 02:15:00,2025-02-18 04:09:00,75,1.25,1.25,1,CLOUDY,114,DELAYED
18,2025-12-22,VT-JAA024,R024,HYD,CCU,ESN700049,ESN700050,2025-12-22 15:00:00,2025-12-22 15:00:00,2025-12-22 17:00:00,2025-12-22 17:00:00,120,2.0,2.0,1,STORM,0,COMPLETED
19,2025-12-04,VT-JAA024,R003,DEL,HYD,ESN700049,ESN700050,2025-12-04 22:00:00,2025-12-04 23:14:00,2025-12-05 00:15:00,2025-12-05 01:29:00,135,2.25,2.25,1,STORM,74,COMPLETED
20,2025-06-07,VT-JAA021,R022,HYD,VTZ,ESN700043,ESN700044,2025-06-07 18:00:00,2025-06-07 18:00:00,2025-06-07 19:00:00,2025-06-07 19:00:00,60,1.0,1.0,1,CLEAR,0,COMPLETED
21,2025-03-07,VT-JAA027,R053,DEL,KTM,ESN700055,ESN700056,2025-03-07 11:00:00,2025-03-07 11:00:00,2025-03-07 12:30:00,2025-03-07 12:30:00,90,1.5,1.5,1,RAIN,0,DELAYED
22,2025-12-13,VT-JAA026,R002,DEL,BLR,ESN700053,ESN700054,2025-12-13 03:00:00,2025-12-13 03:00:00,2025-12-13 05:50:00,2025-12-13 05:50:00,170,2.8333333333333335,2.8333333333333335,1,FOG,0,COMPLETED
23,2025-02-28,VT-JAA024,R024,HYD,CCU,ESN700049,ESN700050,2025-02-28 16:00:00,2025-02-28 16:00:00,2025-02-28 18:00:00,2025-02-28 18:00:00,120,2.0,2.0,1,CLEAR,0,DELAYED
24,2025-11-05,VT-JAA001,R044,BOM,MCT,ESN700001,ESN700002,2025-11-05 11:00:00,2025-11-05 11:00:00,2025-11-05 13:30:00,2025-11-05 13:30:00,150,2.5,2.5,1,RAIN,0,COMPLETED
25,2025-11-04,VT-JAA013,R030,MAA,IXM,ESN700028,ESN700029,2025-11-04 15:00:00,2025-11-04 15:00:00,2025-11-04 15:50:00,2025-11-04 15:50:00,50,0.8333333333333334,0.8333333333333334,1,RAIN,0,DELAYED
26,2025-12-03,VT-JAA002,R038,BLR,SIN,ESN700003,ESN700005,2025-12-03 02:00:00,2025-12-03 02:17:00,2025-12-03 06:15:00,2025-12-03 06:32:00,255,4.25,4.25,1,STORM,17,COMPLETED
27,2025-06-08,VT-JAA020,R002,DEL,BLR,ESN700041,ESN700042,2025-06-08 01:00:00,2025-06-08 01:00:00,2025-06-08 03:50:00,2025-06-08 03:50:00,170,2.8333333333333335,2.8333333333333335,1,STORM,0,DELAYED
28,2025-09-28,VT-JAA024,R060,DEL,DOH,ESN700049,ESN700050,2025-09-28 06:00:00,2025-09-28 06:00:00,2025-09-28 09:50:00,2025-09-28 09:50:00,230,3.8333333333333335,3.8333333333333335,1,CLOUDY,0,COMPLETED
29,2025-05-01,VT-JAA004,R021,HYD,MAA,ESN700010,ESN700011,2025-05-01 05:00:00,2025-05-01 05:51:00,2025-05-01 06:00:00,2025-05-01 06:51:00,60,1.0,1.0,1,STORM,51,COMPLETED
30,2025-09-11,VT-JAA026,R033,CCU,PAT,ESN700053,ESN700054,2025-09-11 00:00:00,2025-09-11 00:00:00,2025-09-11 01:00:00,2025-09-11 01:00:00,60,1.0,1.0,1,STORM,0,COMPLETED
31,2025-09-18,VT-JAA004,R012,BOM,CCU,ESN700010,ESN700011,2025-09-18 14:00:00,2025-09-18 14:00:00,2025-09-18 16:40:00,2025-09-18 16:40:00,160,2.6666666666666665,2.6666666666666665,1,RAIN,0,CANCELLED
32,2025-05-15,VT-JAA015,R058,MAA,KUL,ESN700032,ESN700033,2025-05-15 11:00:00,2025-05-15 11:00:00,2025-05-15 14:50:00,2025-05-15 14:50:00,230,3.8333333333333335,3.8333333333333335,1,STORM,0,DELAYED
33,2025-10-01,VT-JAA026,R022,HYD,VTZ,ESN700053,ESN700054,2025-10-01 12:00:00,2025-10-01 12:00:00,2025-10-01 13:00:00,2025-10-01 13:00:00,60,1.0,1.0,1,STORM,0,COMPLETED
34,2025-02-25,VT-JAA024,R044,BOM,MCT,ESN700049,ESN700050,2025-02-25 07:00:00,2025-02-25 07:48:00,2025-02-25 09:30:00,2025-02-25 10:18:00,150,2.5,2.5,1,STORM,48,COMPLETED
35,2025-11-27,VT-JAA029,R025,HYD,AMD,ESN700057,ESN700058,2025-11-27 08:00:00,2025-11-27 08:50:00,2025-11-27 09:35:00,2025-11-27 10:25:00,95,1.5833333333333333,1.5833333333333333,1,FOG,50,DELAYED
36,2025-04-06,VT-JAA030,R049,HYD,AUH,ESN700059,ESN700060,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 03:45:00,2025-04-06 03:45:00,225,3.75,3.75,1,FOG,0,COMPLETED
37,2025-04-24,VT-JAA011,R027,MAA,TRV,ESN700026,ESN700027,2025-04-24 04:00:00,2025-04-24 05:19:00,2025-04-24 05:05:00,2025-04-24 06:24:00,65,1.0833333333333333,1.0833333333333333,1,CLOUDY,79,COMPLETED
38,2025-12-23,VT-JAA027,R059,BLR,CMB,ESN700055,ESN700056,2025-12-23 06:00:00,2025-12-23 07:04:00,2025-12-23 07:25:00,2025-12-23 08:29:00,85,1.4166666666666667,1.4166666666666667,1,CLEAR,64,DELAYED
39,2025-01-28,VT-JAA021,R042,CCU,DAC,ESN700043,ESN700044,2025-01-28 17:00:00,2025-01-28 17:00:00,2025-01-28 17:45:00,2025-01-28 17:45:00,45,0.75,0.75,1,RAIN,0,DELAYED
40,2025-11-02,VT-JAA020,R028,MAA,CCU,ESN700041,ESN700042,2025-11-02 21:00:00,2025-11-02 22:54:00,2025-11-02 23:10:00,2025-11-03 01:04:00,130,2.1666666666666665,2.1666666666666665,1,CLOUDY,114,DELAYED
41,2025-01-02,VT-JAA011,R060,DEL,DOH,ESN700026,ESN700027,2025-01-02 07:00:00,2025-01-02 07:00:00,2025-01-02 10:50:00,2025-01-02 10:50:00,230,3.8333333333333335,3.8333333333333335,1,RAIN,0,COMPLETED
42,2025-07-31,VT-JAA024,R016,BLR,HYD,ESN700049,ESN700050,2025-07-31 23:00:00,2025-07-31 23:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,60,1.0,1.0,1,CLEAR,0,DELAYED
43,2025-03-09,VT-JAA023,R015,BOM,PNQ,ESN700047,ESN700048,2025-03-09 09:00:00,2025-03-09 09:00:00,2025-03-09 09:40:00,2025-03-09 09:40:00,40,0.6666666666666666,0.6666666666666666,1,CLEAR,0,COMPLETED
44,2025-05-08,VT-JAA026,R047,BOM,DXB,ESN700053,ESN700054,2025-05-08 07:00:00,2025-05-08 07:00:00,2025-05-08 10:00:00,2025-05-08 10:00:00,180,3.0,3.0,1,CLOUDY,0,DELAYED
45,2025-11-29,VT-JAA009,R051,COK,DXB,ESN700021,ESN700022,2025-11-29 11:00:00,2025-11-29 11:55:00,2025-11-29 15:00:00,2025-11-29 15:55:00,240,4.0,4.0,1,FOG,55,DELAYED
46,2025-01-24,VT-JAA021,R044,BOM,MCT,ESN700043,ESN700044,2025-01-24 15:00:00,2025-01-24 15:00:00,2025-01-24 17:30:00,2025-01-24 17:30:00,150,2.5,2.5,1,FOG,0,CANCELLED
47,2025-09-10,VT-JAA020,R055,HYD,DXB,ESN700041,ESN700042,2025-09-10 11:00:00,2025-09-10 11:00:00,2025-09-10 14:40:00,2025-09-10 14:40:00,220,3.6666666666666665,3.6666666666666665,1,FOG,0,COMPLETED
48,2025-08-18,VT-JAA029,R052,CCU,DAC,ESN700057,ESN700058,2025-08-18 21:00:00,2025-08-18 21:39:00,2025-08-18 21:45:00,2025-08-18 22:24:00,45,0.75,0.75,1,STORM,39,COMPLETED
49,2025-06-25,VT-JAA014,R057,CCU,BKK,ESN700030,ESN700031,2025-06-25 21:00:00,2025-06-25 22:48:00,2025-06-25 23:25:00,2025-06-26 01:13:00,145,2.4166666666666665,2.4166666666666665,1,STORM,108,DELAYED
50,2025-08-09,VT-JAA007,R003,DEL,HYD,ESN700016,ESN700018,2025-08-09 02:00:00,2025-08-09 03:26:00,2025-08-09 04:15:00,2025-08-09 05:41:00,135,2.25,2.25,1,CLOUDY,86,DELAYED
51,2025-02-05,VT-JAA003,R037,BOM,DXB,ESN700006,ESN700008,2025-02-05 17:00:00,2025-02-05 17:00:00,2025-02-05 20:00:00,2025-02-05 20:00:00,180,3.0,3.0,1,STORM,0,DELAYED
52,2025-01-02,VT-JAA018,R051,COK,DXB,ESN700038,ESN700040,2025-01-02 04:00:00,2025-01-02 04:00:00,2025-01-02 08:00:00,2025-01-02 08:00:00,240,4.0,4.0,1,RAIN,0,DELAYED
53,2025-12-27,VT-JAA007,R007,DEL,GOX,ESN700016,ESN700018,2025-12-27 13:00:00,2025-12-27 13:00:00,2025-12-27 15:30:00,2025-12-27 15:30:00,150,2.5,2.5,1,CLOUDY,0,COMPLETED
54,2025-10-01,VT-JAA022,R021,HYD,MAA,ESN700045,ESN700046,2025-10-01 19:00:00,2025-10-01 19:00:00,2025-10-01 20:00:00,2025-10-01 20:00:00,60,1.0,1.0,1,CLOUDY,0,COMPLETED
55,2025-06-26,VT-JAA024,R009,BOM,BLR,ESN700049,ESN700050,2025-06-26 20:00:00,2025-06-26 20:00:00,2025-06-26 21:35:00,2025-06-26 21:35:00,95,1.5833333333333333,1.5833333333333333,1,CLEAR,0,COMPLETED
56,2025-09-21,VT-JAA023,R039,HYD,AUH,ESN700047,ESN700048,2025-09-21 15:00:00,2025-09-21 15:00:00,2025-09-21 18:45:00,2025-09-21 18:45:00,225,3.75,3.75,1,CLEAR,0,COMPLETED
57,2025-07-05,VT-JAA025,R018,BLR,COK,ESN700051,ESN700052,2025-07-05 21:00:00,2025-07-05 21:00:00,2025-07-05 21:55:00,2025-07-05 21:55:00,55,0.9166666666666666,0.9166666666666666,1,CLOUDY,0,COMPLETED
58,2025-01-15,VT-JAA021,R004,DEL,MAA,ESN700043,ESN700044,2025-01-15 05:00:00,2025-01-15 05:54:00,2025-01-15 07:50:00,2025-01-15 08:44:00,170,2.8333333333333335,2.8333333333333335,1,FOG,54,COMPLETED
59,2025-10-06,VT-JAA030,R025,HYD,AMD,ESN700059,ESN700060,2025-10-06 15:00:00,2025-10-06 15:26:00,2025-10-06 16:35:00,2025-10-06 17:01:00,95,1.5833333333333333,1.5833333333333333,1,CLEAR,26,COMPLETED
60,2025-07-13,VT-JAA003,R060,DEL,DOH,ESN700006,ESN700008,2025-07-13 19:00:00,2025-07-13 19:00:00,2025-07-13 22:50:00,2025-07-13 22:50:00,230,3.8333333333333335,3.8333333333333335,1,STORM,0,COMPLETED
61,2025-07-17,VT-JAA007,R014,BOM,AMD,ESN700016,ESN700018,2025-07-17 13:00:00,2025-07-17 14:16:00,2025-07-17 14:00:00,2025-07-17 15:16:00,60,1.0,1.0,1,CLOUDY,76,COMPLETED
62,2025-12-15,VT-JAA022,R050,MAA,CMB,ESN700045,ESN700046,2025-12-15 19:00:00,2025-12-15 19:00:00,2025-12-15 20:15:00,2025-12-15 20:15:00,75,1.25,1.25,1,RAIN,0,COMPLETED
63,2025-11-01,VT-JAA025,R058,MAA,KUL,ESN700051,ESN700052,2025-11-01 23:00:00,2025-11-01 23:22:00,2025-11-02 02:50:00,2025-11-02 03:12:00,230,3.8333333333333335,3.8333333333333335,1,CLOUDY,22,DELAYED
64,2025-03-05,VT-JAA005,R009,BOM,BLR,ESN700012,ESN700013,2025-03-05 04:00:00,2025-03-05 04:00:00,2025-03-05 05:35:00,2025-03-05 05:35:00,95,1.5833333333333333,1.5833333333333333,1,RAIN,0,COMPLETED
65,2025-10-17,VT-JAA026,R026,MAA,COK,ESN700053,ESN700054,2025-10-17 13:00:00,2025-10-17 14:08:00,2025-10-17 14:00:00,2025-10-17 15:08:00,60,1.0,1.0,1,CLEAR,68,DELAYED
66,2025-01-18,VT-JAA021,R053,DEL,KTM,ESN700043,ESN700044,2025-01-18 10:00:00,2025-01-18 10:00:00,2025-01-18 11:30:00,2025-01-18 11:30:00,90,1.5,1.5,1,FOG,0,COMPLETED
67,2025-03-05,VT-JAA022,R002,DEL,BLR,ESN700045,ESN700046,2025-03-05 20:00:00,2025-03-05 20:00:00,2025-03-05 22:50:00,2025-03-05 22:50:00,170,2.8333333333333335,2.8333333333333335,1,RAIN,0,COMPLETED
68,2025-12-28,VT-JAA021,R020,BLR,VTZ,ESN700043,ESN700044,2025-12-28 08:00:00,2025-12-28 08:00:00,2025-12-28 09:30:00,2025-12-28 09:30:00,90,1.5,1.5,1,FOG,0,DELAYED
69,2025-11-26,VT-JAA026,R028,MAA,CCU,ESN700053,ESN700054,2025-11-26 19:00:00,2025-11-26 19:42:00,2025-11-26 21:10:00,2025-11-26 21:52:00,130,2.1666666666666665,2.1666666666666665,1,RAIN,42,COMPLETED
70,2025-12-24,VT-JAA011,R047,BOM,DXB,ESN700026,ESN700027,2025-12-24 06:00:00,2025-12-24 06:34:00,2025-12-24 09:00:00,2025-12-24 09:34:00,180,3.0,3.0,1,FOG,34,CANCELLED
71,2025-09-08,VT-JAA009,R060,DEL,DOH,ESN700021,ESN700022,2025-09-08 04:00:00,2025-09-08 04:00:00,2025-09-08 07:50:00,2025-09-08 07:50:00,230,3.8333333333333335,3.8333333333333335,1,RAIN,0,DELAYED
72,2025-01-17,VT-JAA005,R007,DEL,GOX,ESN700012,ESN700013,2025-01-17 14:00:00,2025-01-17 14:00:00,2025-01-17 16:30:00,2025-01-17 16:30:00,150,2.5,2.5,1,CLOUDY,0,COMPLETED
73,2025-05-21,VT-JAA011,R044,BOM,MCT,ESN700026,ESN700027,2025-05-21 12:00:00,2025-05-21 12:00:00,2025-05-21 14:30:00,2025-05-21 14:30:00,150,2.5,2.5,1,CLOUDY,0,COMPLETED
74,2025-11-04,VT-JAA026,R008,DEL,COK,ESN700053,ESN700054,2025-11-04 11:00:00,2025-11-04 11:00:00,2025-11-04 14:10:00,2025-11-04 14:10:00,190,3.1666666666666665,3.1666666666666665,1,CLEAR,0,COMPLETED
75,2025-11-16,VT-JAA013,R047,BOM,DXB,ESN700028,ESN700029,2025-11-16 23:00:00,2025-11-16 23:00:00,2025-11-17 02:00:00,2025-11-17 02:00:00,180,3.0,3.0,1,CLOUDY,0,COMPLETED
76,2025-09-02,VT-JAA026,R035,CCU,VTZ,ESN700053,ESN700054,2025-09-02 14:00:00,2025-09-02 15:48:00,2025-09-02 15:30:00,2025-09-02 17:18:00,90,1.5,1.5,1,STORM,108,COMPLETED
77,2025-10-17,VT-JAA001,R014,BOM,AMD,ESN700001,ESN700002,2025-10-17 23:00:00,2025-10-17 23:46:00,2025-10-18 00:00:00,2025-10-18 00:46:00,60,1.0,1.0,1,CLEAR,46,COMPLETED
78,2025-12-17,VT-JAA009,R017,BLR,MAA,ESN700021,ESN700022,2025-12-17 18:00:00,2025-12-17 18:00:00,2025-12-17 18:50:00,2025-12-17 18:50:00,50,0.8333333333333334,0.8333333333333334,1,CLOUDY,0,COMPLETED
79,2025-03-28,VT-JAA026,R036,DEL,DXB,ESN700053,ESN700054,2025-03-28 23:00:00,2025-03-28 23:00:00,2025-03-29 02:30:00,2025-03-29 02:30:00,210,3.5,3.5,1,CLOUDY,0,COMPLETED
80,2025-07-18,VT-JAA005,R050,MAA,CMB,ESN700012,ESN700013,2025-07-18 18:00:00,2025-07-18 19:45:00,2025-07-18 19:15:00,2025-07-18 21:00:00,75,1.25,1.25,1,STORM,105,COMPLETED
81,2025-12-24,VT-JAA007,R040,MAA,CMB,ESN700016,ESN700018,2025-12-24 09:00:00,2025-12-24 10:23:00,2025-12-24 10:15:00,2025-12-24 11:38:00,75,1.25,1.25,1,FOG,83,DELAYED
82,2025-06-10,VT-JAA007,R004,DEL,MAA,ESN700016,ESN700018,2025-06-10 16:00:00,2025-06-10 16:00:00,2025-06-10 18:50:00,2025-06-10 18:50:00,170,2.8333333333333335,2.8333333333333335,1,CLOUDY,0,DELAYED
83,2025-05-20,VT-JAA029,R002,DEL,BLR,ESN700057,ESN700058,2025-05-20 15:00:00,2025-05-20 15:00:00,2025-05-20 17:50:00,2025-05-20 17:50:00,170,2.8333333333333335,2.8333333333333335,1,RAIN,0,DELAYED
84,2025-03-17,VT-JAA020,R006,DEL,AMD,ESN700041,ESN700042,2025-03-17 04:00:00,2025-03-17 04:00:00,2025-03-17 05:30:00,2025-03-17 05:30:00,90,1.5,1.5,1,FOG,0,DELAYED
85,2025-01-19,VT-JAA010,R054,BOM,MCT,ESN700024,ESN700025,2025-01-19 03:00:00,2025-01-19 03:00:00,2025-01-19 05:30:00,2025-01-19 05:30:00,150,2.5,2.5,1,RAIN,0,COMPLETED
86,2025-11-26,VT-JAA001,R042,CCU,DAC,ESN700001,ESN700002,2025-11-26 23:00:00,2025-11-26 23:00:00,2025-11-26 23:45:00,2025-11-26 23:45:00,45,0.75,0.75,1,FOG,0,COMPLETED
87,2025-02-19,VT-JAA013,R004,DEL,MAA,ESN700028,ESN700029,2025-02-19 21:00:00,2025-02-19 21:00:00,2025-02-19 23:50:00,2025-02-19 23:50:00,170,2.8333333333333335,2.8333333333333335,1,RAIN,0,COMPLETED
88,2025-08-20,VT-JAA003,R054,BOM,MCT,ESN700006,ESN700008,2025-08-20 09:00:00,2025-08-20 09:00:00,2025-08-20 11:30:00,2025-08-20 11:30:00,150,2.5,2.5,1,CLOUDY,0,COMPLETED
89,2025-10-22,VT-JAA027,R029,MAA,GOX,ESN700055,ESN700056,2025-10-22 20:00:00,2025-10-22 21:16:00,2025-10-22 21:30:00,2025-10-22 22:46:00,90,1.5,1.5,1,RAIN,76,COMPLETED
90,2025-01-12,VT-JAA021,R018,BLR,COK,ESN700043,ESN700044,2025-01-12 05:00:00,2025-01-12 05:00:00,2025-01-12 05:55:00,2025-01-12 05:55:00,55,0.9166666666666666,0.9166666666666666,1,CLOUDY,0,COMPLETED
91,2025-12-01,VT-JAA001,R026,MAA,COK,ESN700001,ESN700002,2025-12-01 10:00:00,2025-12-01 11:57:00,2025-12-01 11:00:00,2025-12-01 12:57:00,60,1.0,1.0,1,STORM,117,COMPLETED
92,2025-01-15,VT-JAA021,R044,BOM,MCT,ESN700043,ESN700044,2025-01-15 10:00:00,2025-01-15 11:09:00,2025-01-15 12:30:00,2025-01-15 13:39:00,150,2.5,2.5,1,RAIN,69,COMPLETED
93,2025-01-28,VT-JAA018,R034,CCU,DEL,ESN700038,ESN700040,2025-01-28 15:00:00,2025-01-28 15:00:00,2025-01-28 17:10:00,2025-01-28 17:10:00,130,2.1666666666666665,2.1666666666666665,1,CLEAR,0,DELAYED
94,2025-10-19,VT-JAA005,R010,BOM,HYD,ESN700012,ESN700013,2025-10-19 13:00:00,2025-10-19 13:12:00,2025-10-19 14:20:00,2025-10-19 14:32:00,80,1.3333333333333333,1.3333333333333333,1,CLEAR,12,COMPLETED
95,2025-11-17,VT-JAA021,R036,DEL,DXB,ESN700043,ESN700044,2025-11-17 18:00:00,2025-11-17 18:57:00,2025-11-17 21:30:00,2025-11-17 22:27:00,210,3.5,3.5,1,RAIN,57,COMPLETED
96,2025-09-07,VT-JAA026,R014,BOM,AMD,ESN700053,ESN700054,2025-09-07 21:00:00,2025-09-07 21:00:00,2025-09-07 22:00:00,2025-09-07 22:00:00,60,1.0,1.0,1,CLOUDY,0,COMPLETED
97,2025-04-08,VT-JAA014,R031,CCU,GAU,ESN700030,ESN700031,2025-04-08 03:00:00,2025-04-08 03:34:00,2025-04-08 04:00:00,2025-04-08 04:34:00,60,1.0,1.0,1,FOG,34,DELAYED
98,2025-10-30,VT-JAA023,R048,BLR,SIN,ESN700047,ESN700048,2025-10-30 04:00:00,2025-10-30 04:00:00,2025-10-30 08:15:00,2025-10-30 08:15:00,255,4.25,4.25,1,STORM,0,DELAYED
99,2025-12-03,VT-JAA009,R015,BOM,PNQ,ESN700021,ESN700022,2025-12-03 21:00:00,2025-12-03 21:00:00,2025-12-03 21:40:00,2025-12-03 21:40:00,40,0.6666666666666666,0.6666666666666666,1,RAIN,0,DELAYED
100,2025-02-08,VT-JAA010,R008,DEL,COK,ESN700024,ESN700025,2025-02-08 18:00:00,2025-02-08 18:00:00,2025-02-08 21:10:00,2025-02-08 21:10:00,190,3.1666666666666665,3.1666666666666665,1,STORM,0,DELAYED
101,2025-02-07,VT-JAA022,R014,BOM,AMD,ESN700045,ESN700046,2025-02-07 16:00:00,2025-02-07 16:00:00,2025-02-07 17:00:00,2025-02-07 17:00:00,60,1.0,1.0,1,CLOUDY,0,DELAYED
102,2025-10-27,VT-JAA018,R023,HYD,VGA,ESN700038,ESN700040,2025-10-27 17:00:00,2025-10-27 17:00:00,2025-10-27 17:40:00,2025-10-27 17:40:00,40,0.6666666666666666,0.6666666666666666,1,CLEAR,0,COMPLETED
103,2025-06-28,VT-JAA022,R060,DEL,DOH,ESN700045,ESN700046,2025-06-28 07:00:00,2025-06-28 07:00:00,2025-06-28 10:50:00,2025-06-28 10:50:00,230,3.8333333333333335,3.8333333333333335,1,CLOUDY,0,COMPLETED
104,2025-04-07,VT-JAA015,R057,CCU,BKK,ESN700032,ESN700033,2025-04-07 03:00:00,2025-04-07 03:00:00,2025-04-07 05:25:00,2025-04-07 05:25:00,145,2.4166666666666665,2.4166666666666665,1,CLOUDY,0,COMPLETED
105,2025-10-09,VT-JAA023,R040,MAA,CMB,ESN700047,ESN700048,2025-10-09 22:00:00,2025-10-09 22:00:00,2025-10-09 23:15:00,2025-10-09 23:15:00,75,1.25,1.25,1,RAIN,0,COMPLETED
106,2025-08-26,VT-JAA001,R021,HYD,MAA,ESN700001,ESN700002,2025-08-26 17:00:00,2025-08-26 17:36:00,2025-08-26 18:00:00,2025-08-26 18:36:00,60,1.0,1.0,1,STORM,36,COMPLETED
107,2025-06-13,VT-JAA030,R016,BLR,HYD,ESN700059,ESN700060,2025-06-13 10:00:00,2025-06-13 10:00:00,2025-06-13 11:00:00,2025-06-13 11:00:00,60,1.0,1.0,1,FOG,0,COMPLETED
108,2025-04-07,VT-JAA009,R045,HYD,DXB,ESN700021,ESN700022,2025-04-07 13:00:00,2025-04-07 14:59:00,2025-04-07 16:40:00,2025-04-07 18:39:00,220,3.6666666666666665,3.6666666666666665,1,STORM,119,DELAYED
109,2025-09-14,VT-JAA007,R018,BLR,COK,ESN700016,ESN700018,2025-09-14 12:00:00,2025-09-14 12:06:00,2025-09-14 12:55:00,2025-09-14 13:01:00,55,0.9166666666666666,0.9166666666666666,1,FOG,6,DELAYED
110,2025-11-05,VT-JAA020,R047,BOM,DXB,ESN700041,ESN700042,2025-11-05 23:00:00,2025-11-05 23:00:00,2025-11-06 02:00:00,2025-11-06 02:00:00,180,3.0,3.0,1,CLEAR,0,COMPLETED
111,2025-09-19,VT-JAA023,R053,DEL,KTM,ESN700047,ESN700048,2025-09-19 15:00:00,2025-09-19 15:00:00,2025-09-19 16:30:00,2025-09-19 16:30:00,90,1.5,1.5,1,STORM,0,DELAYED
112,2025-10-20,VT-JAA014,R024,HYD,CCU,ESN700030,ESN700031,2025-10-20 11:00:00,2025-10-20 11:00:00,2025-10-20 13:00:00,2025-10-20 13:00:00,120,2.0,2.0,1,FOG,0,COMPLETED
