utilization_id,utilization_date,flight_id,engine_serial_number,aircraft_registration,flight_hours,flight_cycles,cumulative_engine_hours,cumulative_engine_cycles,engine_status
UTL0000083,2025-01-01,11521,ESN700053,VT-JAA026,3.0,1,6.67,3,INSTALLED
UTL0000084,2025-01-01,11521,ESN700054,VT-JAA026,3.0,1,6.67,3,INSTALLED
UTL0000085,2025-01-01,2231,ESN700059,VT-JAA030,1.25,1,1.25,1,INSTALLED
UTL0000086,2025-01-01,2231,ESN700060,VT-JAA030,1.25,1,1.25,1,INSTALLED
UTL0000087,2025-01-01,5303,ESN700059,VT-JAA030,4.25,1,5.5,2,INSTALLED
UTL0000088,2025-01-01,5303,ESN700060,VT-JAA030,4.25,1,5.5,2,INSTALLED
UTL0000089,2025-01-01,11964,ESN700059,VT-JAA030,3.67,1,9.17,3,INSTALLED
UTL0000090,2025-01-01,11964,ESN700060,VT-JAA030,3.67,1,9.17,3,INSTALLED
UTL0000091,2025-01-02,1627,ESN700001,VT-JAA001,3.17,1,4.42,2,INSTALLED
UTL0000092,2025-01-02,1627,ESN700002,VT-JAA001,3.17,1,4.42,2,INSTALLED
UTL0000093,2025-01-02,2048,ESN700001,VT-JAA001,2.17,1,6.58,3,INSTALLED
UTL0000094,2025-01-02,2048,ESN700002,VT-JAA001,2.17,1,6.58,3,INSTALLED
UTL0000095,2025-01-02,2459,ESN700001,VT-JAA001,0.75,1,7.33,4,INSTALLED
UTL0000096,2025-01-02,2459,ESN700002,VT-JAA001,0.75,1,7.33,4,INSTALLED
UTL0000097,2025-01-02,7765,ESN700001,VT-JAA001,1.42,1,8.75,5,INSTALLED
UTL0000098,2025-01-02,7765,ESN700002,VT-JAA001,1.42,1,8.75,5,INSTALLED
UTL0000099,2025-01-02,18978,ESN700001,VT-JAA001,3.0,1,11.75,6,INSTALLED
UTL0000100,2025-01-02,18978,ESN700002,VT-JAA001,3.0,1,11.75,6,INSTALLED
UTL0000101,2025-01-02,456,ESN700003,VT-JAA002,1.0,1,3.17,2,INSTALLED
UTL0000102,2025-01-02,456,ESN700005,VT-JAA002,1.0,1,3.17,2,INSTALLED
UTL0000103,2025-01-02,4095,ESN700003,VT-JAA002,3.75,1,6.92,3,INSTALLED
UTL0000104,2025-01-02,4095,ESN700005,VT-JAA002,3.75,1,6.92,3,INSTALLED
UTL0000105,2025-01-02,5653,ESN700003,VT-JAA002,2.67,1,9.58,4,INSTALLED
UTL0000106,2025-01-02,5653,ESN700005,VT-JAA002,2.67,1,9.58,4,INSTALLED
UTL0000107,2025-01-02,23095,ESN700003,VT-JAA002,1.33,1,10.92,5,INSTALLED
UTL0000108,2025-01-02,23095,ESN700005,VT-JAA002,1.33,1,10.92,5,INSTALLED
UTL0000109,2025-01-02,24979,ESN700003,VT-JAA002,1.5,1,12.42,6,INSTALLED
UTL0000110,2025-01-02,24979,ESN700005,VT-JAA002,1.5,1,12.42,6,INSTALLED
UTL0000111,2025-01-02,3227,ESN700006,VT-JAA003,1.58,1,13.67,4,INSTALLED
UTL0000112,2025-01-02,3227,ESN700008,VT-JAA003,1.58,1,13.67,4,INSTALLED
UTL0000113,2025-01-02,6367,ESN700021,VT-JAA009,0.92,1,8.08,5,INSTALLED
UTL0000114,2025-01-02,6367,ESN700022,VT-JAA009,0.92,1,8.08,5,INSTALLED
UTL0000115,2025-01-02,41,ESN700026,VT-JAA011,3.83,1,6.42,3,INSTALLED
UTL0000116,2025-01-02,41,ESN700027,VT-JAA011,3.83,1,6.42,3,INSTALLED
UTL0000117,2025-01-02,6582,ESN700030,VT-JAA014,0.83,1,3.0,2,INSTALLED
UTL0000118,2025-01-02,6582,ESN700031,VT-JAA014,0.83,1,3.0,2,INSTALLED
UTL0000119,2025-01-02,17439,ESN700032,VT-JAA015,2.08,1,5.92,4,INSTALLED
UTL0000120,2025-01-02,17439,ESN700033,VT-JAA015,2.08,1,5.92,4,INSTALLED
UTL0000121,2025-01-02,20803,ESN700034,VT-JAA016,4.0,1,7.08,4,INSTALLED
UTL0000122,2025-01-02,20803,ESN700037,VT-JAA016,4.0,1,7.08,4,INSTALLED
UTL0000123,2025-01-02,21967,ESN700034,VT-JAA016,1.0,1,8.08,5,INSTALLED
UTL0000124,2025-01-02,21967,ESN700037,VT-JAA016,1.0,1,8.08,5,INSTALLED
UTL0000125,2025-01-02,16550,ESN700038,VT-JAA018,3.75,1,7.67,4,INSTALLED
UTL0000126,2025-01-02,16550,ESN700040,VT-JAA018,3.75,1,7.67,4,INSTALLED
UTL0000127,2025-01-02,17797,ESN700038,VT-JAA018,1.25,1,8.92,5,INSTALLED
UTL0000128,2025-01-02,17797,ESN700040,VT-JAA018,1.25,1,8.92,5,INSTALLED
UTL0000129,2025-01-02,19735,ESN700038,VT-JAA018,0.67,1,9.58,6,INSTALLED
UTL0000130,2025-01-02,19735,ESN700040,VT-JAA018,0.67,1,9.58,6,INSTALLED
UTL0000131,2025-01-02,18701,ESN700041,VT-JAA020,1.5,1,6.08,3,INSTALLED
UTL0000132,2025-01-02,18701,ESN700042,VT-JAA020,1.5,1,6.08,3,INSTALLED
UTL0000133,2025-01-02,10204,ESN700043,VT-JAA021,1.5,1,5.33,2,INSTALLED
UTL0000134,2025-01-02,10204,ESN700044,VT-JAA021,1.5,1,5.33,2,INSTALLED
UTL0000135,2025-01-02,20635,ESN700043,VT-JAA021,1.0,1,6.33,3,INSTALLED
UTL0000136,2025-01-02,20635,ESN700044,VT-JAA021,1.0,1,6.33,3,INSTALLED
UTL0000137,2025-01-02,21415,ESN700043,VT-JAA021,1.0,1,7.33,4,INSTALLED
UTL0000138,2025-01-02,21415,ESN700044,VT-JAA021,1.0,1,7.33,4,INSTALLED
UTL0000139,2025-01-02,24716,ESN700043,VT-JAA021,2.17,1,9.5,5,INSTALLED
UTL0000140,2025-01-02,24716,ESN700044,VT-JAA021,2.17,1,9.5,5,INSTALLED
UTL0000141,2025-01-02,24778,ESN700043,VT-JAA021,1.0,1,10.5,6,INSTALLED
UTL0000142,2025-01-02,24778,ESN700044,VT-JAA021,1.0,1,10.5,6,INSTALLED
UTL0000143,2025-01-02,9663,ESN700045,VT-JAA022,1.5,1,1.5,1,INSTALLED
UTL0000144,2025-01-02,9663,ESN700046,VT-JAA022,1.5,1,1.5,1,INSTALLED
UTL0000145,2025-01-02,21772,ESN700045,VT-JAA022,0.83,1,2.33,2,INSTALLED
UTL0000146,2025-01-02,21772,ESN700046,VT-JAA022,0.83,1,2.33,2,INSTALLED
UTL0000147,2025-01-02,13577,ESN700049,VT-JAA024,4.25,1,5.75,2,INSTALLED
UTL0000148,2025-01-02,13577,ESN700050,VT-JAA024,4.25,1,5.75,2,INSTALLED
UTL0000149,2025-01-02,22508,ESN700051,VT-JAA025,2.08,1,6.67,3,INSTALLED
UTL0000150,2025-01-02,22508,ESN700052,VT-JAA025,2.08,1,6.67,3,INSTALLED
UTL0000151,2025-01-02,3509,ESN700053,VT-JAA026,2.0,1,8.67,4,INSTALLED
UTL0000152,2025-01-02,3509,ESN700054,VT-JAA026,2.0,1,8.67,4,INSTALLED
UTL0000153,2025-01-02,2058,ESN700057,VT-JAA029,3.75,1,3.75,1,INSTALLED
UTL0000154,2025-01-02,2058,ESN700058,VT-JAA029,3.75,1,3.75,1,INSTALLED
UTL0000155,2025-01-02,11110,ESN700057,VT-JAA029,2.17,1,5.92,2,INSTALLED
UTL0000156,2025-01-02,11110,ESN700058,VT-JAA029,2.17,1,5.92,2,INSTALLED
UTL0000157,2025-01-02,4143,ESN700059,VT-JAA030,1.5,1,10.67,4,INSTALLED
UTL0000158,2025-01-02,4143,ESN700060,VT-JAA030,1.5,1,10.67,4,INSTALLED
UTL0000159,2025-01-03,3508,ESN700001,VT-JAA001,0.67,1,12.42,7,INSTALLED
UTL0000160,2025-01-03,3508,ESN700002,VT-JAA001,0.67,1,12.42,7,INSTALLED
UTL0000161,2025-01-03,19983,ESN700001,VT-JAA001,2.42,1,14.83,8,INSTALLED
UTL0000162,2025-01-03,19983,ESN700002,VT-JAA001,2.42,1,14.83,8,INSTALLED
UTL0000163,2025-01-03,22567,ESN700001,VT-JAA001,4.25,1,19.08,9,INSTALLED
UTL0000164,2025-01-03,22567,ESN700002,VT-JAA001,4.25,1,19.08,9,INSTALLED
UTL0000165,2025-01-03,2136,ESN700006,VT-JAA003,2.0,1,15.67,5,INSTALLED
UTL0000166,2025-01-03,2136,ESN700008,VT-JAA003,2.0,1,15.67,5,INSTALLED
UTL0000167,2025-01-03,3792,ESN700006,VT-JAA003,1.0,1,16.67,6,INSTALLED
UTL0000168,2025-01-03,3792,ESN700008,VT-JAA003,1.0,1,16.67,6,INSTALLED
UTL0000169,2025-01-03,12825,ESN700010,VT-JAA004,3.0,1,3.0,1,INSTALLED
UTL0000170,2025-01-03,12825,ESN700011,VT-JAA004,3.0,1,3.0,1,INSTALLED
UTL0000171,2025-01-03,20110,ESN700010,VT-JAA004,0.92,1,3.92,2,INSTALLED
UTL0000172,2025-01-03,20110,ESN700011,VT-JAA004,0.92,1,3.92,2,INSTALLED
UTL0000173,2025-01-03,20317,ESN700016,VT-JAA007,1.0,1,4.67,2,INSTALLED
UTL0000174,2025-01-03,20317,ESN700018,VT-JAA007,1.0,1,4.67,2,INSTALLED
UTL0000175,2025-01-03,22435,ESN700016,VT-JAA007,1.0,1,5.67,3,INSTALLED
UTL0000176,2025-01-03,22435,ESN700018,VT-JAA007,1.0,1,5.67,3,INSTALLED
UTL0000177,2025-01-03,726,ESN700021,VT-JAA009,3.75,1,11.83,6,INSTALLED
UTL0000178,2025-01-03,726,ESN700022,VT-JAA009,3.75,1,11.83,6,INSTALLED
UTL0000179,2025-01-03,3187,ESN700021,VT-JAA009,3.67,1,15.5,7,INSTALLED
UTL0000180,2025-01-03,3187,ESN700022,VT-JAA009,3.67,1,15.5,7,INSTALLED
UTL0000181,2025-01-03,5137,ESN700021,VT-JAA009,1.0,1,16.5,8,INSTALLED
UTL0000182,2025-01-03,5137,ESN700022,VT-JAA009,1.0,1,16.5,8,INSTALLED
UTL0000183,2025-01-03,22346,ESN700024,VT-JAA010,3.83,1,12.25,7,INSTALLED
UTL0000184,2025-01-03,22346,ESN700025,VT-JAA010,3.83,1,12.25,7,INSTALLED
UTL0000185,2025-01-03,1496,ESN700030,VT-JAA014,0.67,1,3.67,3,INSTALLED
UTL0000186,2025-01-03,1496,ESN700031,VT-JAA014,0.67,1,3.67,3,INSTALLED
UTL0000187,2025-01-03,12458,ESN700030,VT-JAA014,0.67,1,4.33,4,INSTALLED
UTL0000188,2025-01-03,12458,ESN700031,VT-JAA014,0.67,1,4.33,4,INSTALLED
UTL0000189,2025-01-03,22530,ESN700030,VT-JAA014,1.58,1,5.92,5,INSTALLED
UTL0000190,2025-01-03,22530,ESN700031,VT-JAA014,1.58,1,5.92,5,INSTALLED
UTL0000191,2025-01-03,14948,ESN700038,VT-JAA018,2.5,1,12.08,7,INSTALLED
UTL0000192,2025-01-03,14948,ESN700040,VT-JAA018,2.5,1,12.08,7,INSTALLED
UTL0000193,2025-01-03,5619,ESN700041,VT-JAA020,1.5,1,7.58,4,INSTALLED
UTL0000194,2025-01-03,5619,ESN700042,VT-JAA020,1.5,1,7.58,4,INSTALLED
UTL0000195,2025-01-03,10523,ESN700041,VT-JAA020,1.92,1,9.5,5,INSTALLED
UTL0000196,2025-01-03,10523,ESN700042,VT-JAA020,1.92,1,9.5,5,INSTALLED
UTL0000197,2025-01-03,14106,ESN700041,VT-JAA020,2.25,1,11.75,6,INSTALLED
UTL0000198,2025-01-03,14106,ESN700042,VT-JAA020,2.25,1,11.75,6,INSTALLED
UTL0000199,2025-01-03,15880,ESN700041,VT-JAA020,3.83,1,15.58,7,INSTALLED
UTL0000200,2025-01-03,15880,ESN700042,VT-JAA020,3.83,1,15.58,7,INSTALLED
UTL0000201,2025-01-03,14207,ESN700043,VT-JAA021,1.0,1,11.5,7,INSTALLED
UTL0000202,2025-01-03,14207,ESN700044,VT-JAA021,1.0,1,11.5,7,INSTALLED
UTL0000203,2025-01-03,10007,ESN700047,VT-JAA023,1.0,1,7.92,4,INSTALLED
UTL0000204,2025-01-03,10007,ESN700048,VT-JAA023,1.0,1,7.92,4,INSTALLED
UTL0000205,2025-01-03,4140,ESN700049,VT-JAA024,1.0,1,6.75,3,INSTALLED
UTL0000206,2025-01-03,4140,ESN700050,VT-JAA024,1.0,1,6.75,3,INSTALLED
UTL0000207,2025-01-03,9678,ESN700049,VT-JAA024,3.75,1,10.5,4,INSTALLED
UTL0000208,2025-01-03,9678,ESN700050,VT-JAA024,3.75,1,10.5,4,INSTALLED
UTL0000209,2025-01-03,5254,ESN700051,VT-JAA025,1.5,1,8.17,4,INSTALLED
UTL0000210,2025-01-03,5254,ESN700052,VT-JAA025,1.5,1,8.17,4,INSTALLED
UTL0000211,2025-01-03,5942,ESN700051,VT-JAA025,0.67,1,8.83,5,INSTALLED
UTL0000212,2025-01-03,5942,ESN700052,VT-JAA025,0.67,1,8.83,5,INSTALLED
UTL0000213,2025-01-03,22706,ESN700051,VT-JAA025,4.0,1,12.83,6,INSTALLED
UTL0000214,2025-01-03,22706,ESN700052,VT-JAA025,4.0,1,12.83,6,INSTALLED
UTL0000215,2025-01-03,1261,ESN700053,VT-JAA026,4.17,1,12.83,5,INSTALLED
UTL0000216,2025-01-03,1261,ESN700054,VT-JAA026,4.17,1,12.83,5,INSTALLED
UTL0000217,2025-01-03,21103,ESN700053,VT-JAA026,4.17,1,17.0,6,INSTALLED
UTL0000218,2025-01-03,21103,ESN700054,VT-JAA026,4.17,1,17.0,6,INSTALLED
UTL0000219,2025-01-03,808,ESN700055,VT-JAA027,3.0,1,3.0,1,INSTALLED
UTL0000220,2025-01-03,808,ESN700056,VT-JAA027,3.0,1,3.0,1,INSTALLED
UTL0000221,2025-01-03,5920,ESN700055,VT-JAA027,3.5,1,6.5,2,INSTALLED
UTL0000222,2025-01-03,5920,ESN700056,VT-JAA027,3.5,1,6.5,2,INSTALLED
UTL0000223,2025-01-03,17476,ESN700057,VT-JAA029,1.0,1,6.92,3,INSTALLED
UTL0000224,2025-01-03,17476,ESN700058,VT-JAA029,1.0,1,6.92,3,INSTALLED
UTL0000225,2025-01-03,5361,ESN700059,VT-JAA030,1.42,1,12.08,5,INSTALLED
UTL0000226,2025-01-03,5361,ESN700060,VT-JAA030,1.42,1,12.08,5,INSTALLED
UTL0000227,2025-01-03,9977,ESN700059,VT-JAA030,0.75,1,12.83,6,INSTALLED
UTL0000228,2025-01-03,9977,ESN700060,VT-JAA030,0.75,1,12.83,6,INSTALLED
UTL0000229,2025-01-04,24485,ESN700003,VT-JAA002,1.0,1,13.42,7,INSTALLED
UTL0000230,2025-01-04,24485,ESN700005,VT-JAA002,1.0,1,13.42,7,INSTALLED
UTL0000231,2025-01-04,12076,ESN700010,VT-JAA004,1.5,1,5.42,3,INSTALLED
UTL0000232,2025-01-04,12076,ESN700011,VT-JAA004,1.5,1,5.42,3,INSTALLED
UTL0000233,2025-01-04,15621,ESN700010,VT-JAA004,1.5,1,6.92,4,INSTALLED
UTL0000234,2025-01-04,15621,ESN700011,VT-JAA004,1.5,1,6.92,4,INSTALLED
UTL0000235,2025-01-04,9980,ESN700012,VT-JAA005,4.0,1,5.0,2,INSTALLED
UTL0000236,2025-01-04,9980,ESN700013,VT-JAA005,4.0,1,5.0,2,INSTALLED
UTL0000237,2025-01-04,10422,ESN700012,VT-JAA005,3.83,1,8.83,3,INSTALLED
UTL0000238,2025-01-04,10422,ESN700013,VT-JAA005,3.83,1,8.83,3,INSTALLED
UTL0000239,2025-01-04,10229,ESN700016,VT-JAA007,2.83,1,8.5,4,INSTALLED
UTL0000240,2025-01-04,10229,ESN700018,VT-JAA007,2.83,1,8.5,4,INSTALLED
UTL0000241,2025-01-04,22177,ESN700016,VT-JAA007,1.0,1,9.5,5,INSTALLED
UTL0000242,2025-01-04,22177,ESN700018,VT-JAA007,1.0,1,9.5,5,INSTALLED
UTL0000243,2025-01-04,24607,ESN700016,VT-JAA007,0.92,1,10.42,6,INSTALLED
UTL0000244,2025-01-04,24607,ESN700018,VT-JAA007,0.92,1,10.42,6,INSTALLED
UTL0000245,2025-01-04,17316,ESN700021,VT-JAA009,1.0,1,17.5,9,INSTALLED
UTL0000246,2025-01-04,17316,ESN700022,VT-JAA009,1.0,1,17.5,9,INSTALLED
UTL0000247,2025-01-04,2204,ESN700024,VT-JAA010,2.17,1,14.42,8,INSTALLED
UTL0000248,2025-01-04,2204,ESN700025,VT-JAA010,2.17,1,14.42,8,INSTALLED
UTL0000249,2025-01-04,8615,ESN700024,VT-JAA010,3.83,1,18.25,9,INSTALLED
UTL0000250,2025-01-04,8615,ESN700025,VT-JAA010,3.83,1,18.25,9,INSTALLED
UTL0000251,2025-01-04,3708,ESN700026,VT-JAA011,2.17,1,8.58,4,INSTALLED
UTL0000252,2025-01-04,3708,ESN700027,VT-JAA011,2.17,1,8.58,4,INSTALLED
UTL0000253,2025-01-04,11480,ESN700026,VT-JAA011,1.92,1,10.5,5,INSTALLED
UTL0000254,2025-01-04,11480,ESN700027,VT-JAA011,1.92,1,10.5,5,INSTALLED
UTL0000255,2025-01-04,10042,ESN700028,VT-JAA013,2.83,1,6.58,2,INSTALLED
UTL0000256,2025-01-04,10042,ESN700029,VT-JAA013,2.83,1,6.58,2,INSTALLED
UTL0000257,2025-01-04,16601,ESN700028,VT-JAA013,2.5,1,9.08,3,INSTALLED
UTL0000258,2025-01-04,16601,ESN700029,VT-JAA013,2.5,1,9.08,3,INSTALLED
UTL0000259,2025-01-04,20363,ESN700028,VT-JAA013,1.92,1,11.0,4,INSTALLED
UTL0000260,2025-01-04,20363,ESN700029,VT-JAA013,1.92,1,11.0,4,INSTALLED
UTL0000261,2025-01-04,24819,ESN700030,VT-JAA014,3.5,1,9.42,6,INSTALLED
UTL0000262,2025-01-04,24819,ESN700031,VT-JAA014,3.5,1,9.42,6,INSTALLED
UTL0000263,2025-01-04,22900,ESN700034,VT-JAA016,2.25,1,10.33,6,INSTALLED
UTL0000264,2025-01-04,22900,ESN700037,VT-JAA016,2.25,1,10.33,6,INSTALLED
UTL0000265,2025-01-04,8130,ESN700038,VT-JAA018,3.83,1,15.92,8,INSTALLED
UTL0000266,2025-01-04,8130,ESN700040,VT-JAA018,3.83,1,15.92,8,INSTALLED
UTL0000267,2025-01-04,10275,ESN700038,VT-JAA018,1.5,1,17.42,9,INSTALLED
UTL0000268,2025-01-04,10275,ESN700040,VT-JAA018,1.5,1,17.42,9,INSTALLED
UTL0000269,2025-01-04,20362,ESN700038,VT-JAA018,1.5,1,18.92,10,INSTALLED
UTL0000270,2025-01-04,20362,ESN700040,VT-JAA018,1.5,1,18.92,10,INSTALLED
UTL0000271,2025-01-04,22483,ESN700038,VT-JAA018,3.83,1,22.75,11,INSTALLED
UTL0000272,2025-01-04,22483,ESN700040,VT-JAA018,3.83,1,22.75,11,INSTALLED
UTL0000273,2025-01-04,14450,ESN700043,VT-JAA021,1.0,1,12.5,8,INSTALLED
UTL0000274,2025-01-04,14450,ESN700044,VT-JAA021,1.0,1,12.5,8,INSTALLED
UTL0000275,2025-01-04,1731,ESN700045,VT-JAA022,1.0,1,3.33,3,INSTALLED
UTL0000276,2025-01-04,1731,ESN700046,VT-JAA022,1.0,1,3.33,3,INSTALLED
UTL0000277,2025-01-04,635,ESN700047,VT-JAA023,1.0,1,8.92,5,INSTALLED
