inventory_id,component_serial_number,component_id,component_name,engine_serial_number,manufacture_date,installation_date,position,installation_type,status
INV0000017,CSN900017,CMP022,Dome Assembly,ESN700001,2020-03-12,2020-12-19,CENTER,NEW,ACTIVE
INV0000018,CSN900018,CMP024,HPT Stage 1 Disk,ESN700001,2020-08-05,2020-12-28,STAGE1,NEW,ACTIVE
INV0000019,CSN900019,CMP025,HPT Stage 2 Disk,ESN700001,2019-05-21,2021-03-14,STAGE2,NEW,ACTIVE
INV0000020,CSN900020,CMP028,HPT Shroud,ESN700001,2020-08-04,2020-10-13,CENTER,NEW,ACTIVE
INV0000021,CSN900021,CMP029,LPT Shaft,ESN700001,2020-04-05,2020-11-22,CENTER,NEW,ACTIVE
INV0000022,CSN900022,CMP030,LPT Stage 1 Disk,ESN700001,2019-05-10,2020-12-13,STAGE1,NEW,ACTIVE
INV0000023,CSN900023,CMP031,LPT Stage 2 Disk,ESN700001,2020-01-01,2020-12-14,STAGE2,NEW,ACTIVE
INV0000024,CSN900024,CMP034,Turbine Rear Frame,ESN700001,2020-03-11,2020-12-26,CENTER,NEW,ACTIVE
INV0000025,CSN900025,CMP035,Fuel Pump,ESN700001,2019-09-19,2020-11-05,CENTER,NEW,ACTIVE
INV0000026,CSN900026,CMP036,Hydromechanical Unit (HMU),ESN700001,2019-10-03,2021-03-11,CENTER,NEW,ACTIVE
INV0000027,CSN900027,CMP037,Fuel Filter,ESN700001,2019-08-29,2020-11-26,CENTER,NEW,ACTIVE
INV0000028,CSN900028,CMP038,Fuel Shutoff Valve,ESN700001,2020-02-16,2020-12-09,CENTER,NEW,ACTIVE
INV0000029,CSN900029,CMP039,Fuel Manifold,ESN700001,2019-10-01,2020-12-14,CENTER,NEW,ACTIVE
INV0000030,CSN900030,CMP040,Ignition Exciter,ESN700001,2018-12-30,2021-01-02,CENTER,NEW,ACTIVE
INV0000031,CSN900031,CMP041,Igniter Plug A,ESN700001,2019-02-19,2020-10-13,A,NEW,ACTIVE
INV0000032,CSN900032,CMP042,Igniter Plug B,ESN700001,2020-01-15,2021-02-16,B,NEW,ACTIVE
INV0000033,CSN900033,CMP043,Variable Bleed Valve (VBV),ESN700001,2018-11-11,2020-12-22,CENTER,NEW,ACTIVE
INV0000034,CSN900034,CMP044,VBV Actuator,ESN700001,2019-05-05,2020-12-02,CENTER,NEW,ACTIVE
INV0000035,CSN900035,CMP045,High Stage Bleed Valve,ESN700001,2020-03-10,2021-04-01,CENTER,NEW,ACTIVE
INV0000036,CSN900036,CMP046,Start Valve,ESN700001,2019-07-13,2021-03-13,CENTER,NEW,ACTIVE
INV0000037,CSN900037,CMP047,Exhaust Nozzle,ESN700001,2020-09-01,2021-02-13,CENTER,NEW,ACTIVE
INV0000038,CSN900038,CMP048,Exhaust Mixer,ESN700001,2020-04-11,2020-12-26,CENTER,NEW,ACTIVE
INV0000039,CSN900039,CMP049,Oil Pump,ESN700001,2019-09-20,2021-03-15,CENTER,NEW,ACTIVE
INV0000040,CSN900040,CMP050,Scavenge Pump,ESN700001,2019-10-20,2021-01-06,CENTER,NEW,ACTIVE
INV0000041,CSN900041,CMP051,Oil Filter,ESN700001,2018-10-29,2020-12-09,CENTER,NEW,ACTIVE
INV0000042,CSN900042,CMP052,Oil Pressure Transmitter,ESN700001,2019-01-19,2021-02-20,CENTER,NEW,ACTIVE
INV0000043,CSN900043,CMP053,Oil Temperature Sensor,ESN700001,2019-07-12,2021-03-29,CENTER,NEW,ACTIVE
INV0000044,CSN900044,CMP054,EGT Thermocouple Harness,ESN700001,2018-11-04,2020-11-15,CENTER,NEW,ACTIVE
INV0000045,CSN900045,CMP055,N1 Speed Sensor,ESN700001,2019-02-26,2021-01-26,CENTER,NEW,ACTIVE
INV0000046,CSN900046,CMP056,N2 Speed Sensor,ESN700001,2019-05-14,2020-12-29,CENTER,NEW,ACTIVE
INV0000047,CSN900047,CMP057,Vibration Sensor,ESN700001,2020-04-17,2021-01-25,CENTER,NEW,ACTIVE
INV0000048,CSN900048,CMP058,Chip Detector,ESN700001,2019-08-14,2020-10-29,CENTER,NEW,ACTIVE
INV0000049,CSN900049,CMP059,Accessory Gearbox,ESN700001,2019-03-17,2021-03-29,CENTER,NEW,ACTIVE
INV0000050,CSN900050,CMP060,Starter,ESN700001,2020-08-24,2020-12-20,CENTER,NEW,ACTIVE
INV0000051,CSN900051,CMP061,Integrated Drive Generator (IDG) Drive Pad,ESN700001,2019-02-19,2021-01-15,CENTER,NEW,ACTIVE
INV0000052,CSN900052,CMP062,Hydraulic Pump Drive Pad,ESN700001,2020-03-11,2020-11-13,CENTER,NEW,ACTIVE
INV0000053,CSN900053,CMP001,Fan Disk,ESN700002,2020-07-29,2021-12-15,CENTER,NEW,ACTIVE
INV0000054,CSN900054,CMP002,Fan Shaft,ESN700002,2019-12-05,2022-02-07,CENTER,NEW,ACTIVE
INV0000055,CSN900055,CMP005,Fan Case,ESN700002,2019-12-21,2022-01-20,CENTER,NEW,ACTIVE
INV0000056,CSN900056,CMP006,Spinner Cone,ESN700002,2021-03-16,2021-12-15,CENTER,NEW,ACTIVE
INV0000057,CSN900057,CMP007,Booster Rotor,ESN700002,2021-01-07,2022-04-22,CENTER,NEW,ACTIVE
INV0000058,CSN900058,CMP009,Booster Stator Assembly,ESN700002,2020-04-20,2022-01-14,CENTER,NEW,ACTIVE
INV0000059,CSN900059,CMP010,Booster Case,ESN700002,2021-08-13,2021-12-13,CENTER,NEW,ACTIVE
INV0000060,CSN900060,CMP011,HPC Stage 1 Disk,ESN700002,2020-01-12,2022-01-26,STAGE1,NEW,ACTIVE
INV0000061,CSN900061,CMP012,HPC Stage 2 Disk,ESN700002,2020-07-11,2022-04-05,STAGE2,NEW,ACTIVE
INV0000062,CSN900062,CMP013,HPC Stage 3 Disk,ESN700002,2020-04-26,2021-12-24,STAGE3,NEW,ACTIVE
INV0000063,CSN900063,CMP014,HPC Stage 4 Disk,ESN700002,2021-09-03,2022-03-16,STAGE4,NEW,ACTIVE
INV0000064,CSN900064,CMP015,HPC Stage 5 Disk,ESN700002,2021-07-28,2022-02-27,STAGE5,NEW,ACTIVE
INV0000065,CSN900065,CMP016,HPC Rotor Shaft,ESN700002,2020-07-16,2022-01-26,CENTER,NEW,ACTIVE
INV0000066,CSN900066,CMP018,Variable Stator Vane Assembly,ESN700002,2019-11-18,2021-12-24,CENTER,NEW,ACTIVE
INV0000067,CSN900067,CMP019,HPC Case,ESN700002,2021-07-12,2022-02-17,CENTER,NEW,ACTIVE
INV0000068,CSN900068,CMP020,Combustor Liner,ESN700002,2021-07-10,2022-03-02,CENTER,NEW,ACTIVE
INV0000069,CSN900069,CMP022,Dome Assembly,ESN700002,2021-02-14,2022-01-27,CENTER,NEW,ACTIVE
INV0000070,CSN900070,CMP024,HPT Stage 1 Disk,ESN700002,2020-10-10,2022-04-08,STAGE1,NEW,ACTIVE
INV0000071,CSN900071,CMP025,HPT Stage 2 Disk,ESN700002,2021-06-21,2022-01-08,STAGE2,NEW,ACTIVE
INV0000072,CSN900072,CMP028,HPT Shroud,ESN700002,2020-04-12,2022-05-10,CENTER,NEW,ACTIVE
INV0000073,CSN900073,CMP029,LPT Shaft,ESN700002,2020-01-30,2022-04-06,CENTER,NEW,ACTIVE
INV0000074,CSN900074,CMP030,LPT Stage 1 Disk,ESN700002,2020-12-31,2021-12-20,STAGE1,NEW,ACTIVE
INV0000075,CSN900075,CMP031,LPT Stage 2 Disk,ESN700002,2020-11-28,2022-03-25,STAGE2,NEW,ACTIVE
INV0000076,CSN900076,CMP034,Turbine Rear Frame,ESN700002,2020-09-04,2022-04-10,CENTER,NEW,ACTIVE
INV0000077,CSN900077,CMP035,Fuel Pump,ESN700002,2020-05-18,2022-05-08,CENTER,NEW,ACTIVE
INV0000078,CSN900078,CMP036,Hydromechanical Unit (HMU),ESN700002,2019-12-24,2022-05-04,CENTER,NEW,ACTIVE
INV0000079,CSN900079,CMP037,Fuel Filter,ESN700002,2020-08-29,2022-01-14,CENTER,NEW,ACTIVE
INV0000080,CSN900080,CMP038,Fuel Shutoff Valve,ESN700002,2020-07-19,2021-11-21,CENTER,NEW,ACTIVE
INV0000081,CSN900081,CMP039,Fuel Manifold,ESN700002,2021-11-01,2021-12-09,CENTER,NEW,ACTIVE
INV0000082,CSN900082,CMP040,Ignition Exciter,ESN700002,2021-07-16,2022-05-06,CENTER,NEW,ACTIVE
INV0000083,CSN900083,CMP041,Igniter Plug A,ESN700002,2021-06-01,2021-12-03,A,NEW,ACTIVE
INV0000084,CSN900084,CMP042,Igniter Plug B,ESN700002,2021-07-09,2022-02-25,B,NEW,ACTIVE
INV0000085,CSN900085,CMP043,Variable Bleed Valve (VBV),ESN700002,2020-07-01,2022-02-25,CENTER,NEW,ACTIVE
INV0000086,CSN900086,CMP044,VBV Actuator,ESN700002,2021-01-08,2022-01-28,CENTER,NEW,ACTIVE
INV0000087,CSN900087,CMP045,High Stage Bleed Valve,ESN700002,2020-06-11,2022-04-16,CENTER,NEW,ACTIVE
INV0000088,CSN900088,CMP046,Start Valve,ESN700002,2021-01-31,2022-01-01,CENTER,NEW,ACTIVE
INV0000089,CSN900089,CMP047,Exhaust Nozzle,ESN700002,2021-05-30,2021-12-02,CENTER,NEW,ACTIVE
INV0000090,CSN900090,CMP048,Exhaust Mixer,ESN700002,2020-12-26,2021-11-30,CENTER,NEW,ACTIVE
INV0000091,CSN900091,CMP049,Oil Pump,ESN700002,2019-12-28,2022-01-25,CENTER,NEW,ACTIVE
INV0000092,CSN900092,CMP050,Scavenge Pump,ESN700002,2020-01-19,2022-04-28,CENTER,NEW,ACTIVE
INV0000093,CSN900093,CMP051,Oil Filter,ESN700002,2021-08-18,2021-12-29,CENTER,NEW,ACTIVE
INV0000094,CSN900094,CMP052,Oil Pressure Transmitter,ESN700002,2020-08-22,2021-12-11,CENTER,NEW,ACTIVE
INV0000095,CSN900095,CMP053,Oil Temperature Sensor,ESN700002,2020-06-16,2022-04-28,CENTER,NEW,ACTIVE
INV0000096,CSN900096,CMP054,EGT Thermocouple Harness,ESN700002,2021-08-04,2021-12-15,CENTER,NEW,ACTIVE
INV0000097,CSN900097,CMP055,N1 Speed Sensor,ESN700002,2021-05-05,2021-12-25,CENTER,NEW,ACTIVE
INV0000098,CSN900098,CMP056,N2 Speed Sensor,ESN700002,2020-08-06,2022-04-11,CENTER,NEW,ACTIVE
INV0000099,CSN900099,CMP057,Vibration Sensor,ESN700002,2021-06-01,2022-01-27,CENTER,NEW,ACTIVE
INV0000100,CSN900100,CMP058,Chip Detector,ESN700002,2020-06-15,2022-02-27,CENTER,NEW,ACTIVE
INV0000101,CSN900101,CMP059,Accessory Gearbox,ESN700002,2020-05-03,2022-02-01,CENTER,NEW,ACTIVE
INV0000102,CSN900102,CMP060,Starter,ESN700002,2019-12-23,2021-12-25,CENTER,NEW,ACTIVE
INV0000103,CSN900103,CMP061,Integrated Drive Generator (IDG) Drive Pad,ESN700002,2020-02-17,2021-11-21,CENTER,NEW,ACTIVE
INV0000104,CSN900104,CMP062,Hydraulic Pump Drive Pad,ESN700002,2019-11-22,2022-05-04,CENTER,NEW,ACTIVE
INV0000105,CSN900105,CMP001,Fan Disk,ESN700003,2021-01-09,2022-10-26,CENTER,NEW,ACTIVE
INV0000106,CSN900106,CMP002,Fan Shaft,ESN700003,2022-07-29,2023-01-01,CENTER,NEW,ACTIVE
INV0000107,CSN900107,CMP005,Fan Case,ESN700003,2021-12-30,2022-09-02,CENTER,NEW,ACTIVE
INV0000108,CSN900108,CMP006,Spinner Cone,ESN700003,2021-12-07,2022-11-28,CENTER,NEW,ACTIVE
INV0000109,CSN900109,CMP007,Booster Rotor,ESN700003,2021-02-11,2023-01-13,CENTER,NEW,ACTIVE
INV0000110,CSN900110,CMP009,Booster Stator Assembly,ESN700003,2022-02-13,2022-09-05,CENTER,NEW,ACTIVE
INV0000111,CSN900111,CMP010,Booster Case,ESN700003,2022-07-20,2023-01-14,CENTER,NEW,ACTIVE
INV0000112,CSN900112,CMP011,HPC Stage 1 Disk,ESN700003,2022-07-06,2022-11-10,STAGE1,NEW,ACTIVE
INV0000113,CSN900113,CMP012,HPC Stage 2 Disk,ESN700003,2020-10-26,2022-08-06,STAGE2,NEW,ACTIVE
INV0000114,CSN900114,CMP013,HPC Stage 3 Disk,ESN700003,2021-10-30,2023-01-15,STAGE3,NEW,ACTIVE
INV0000115,CSN900115,CMP014,HPC Stage 4 Disk,ESN700003,2021-02-28,2022-11-10,STAGE4,NEW,ACTIVE
INV0000116,CSN900116,CMP015,HPC Stage 5 Disk,ESN700003,2020-12-05,2022-09-21,STAGE5,NEW,ACTIVE
INV0000117,CSN900117,CMP016,HPC Rotor Shaft,ESN700003,2021-01-27,2022-11-25,CENTER,NEW,ACTIVE
INV0000118,CSN900118,CMP018,Variable Stator Vane Assembly,ESN700003,2022-05-01,2022-10-28,CENTER,NEW,ACTIVE
INV0000119,CSN900119,CMP019,HPC Case,ESN700003,2022-06-14,2022-09-22,CENTER,NEW,ACTIVE
INV0000120,CSN900120,CMP020,Combustor Liner,ESN700003,2020-11-08,2022-12-13,CENTER,NEW,ACTIVE
INV0000121,CSN900121,CMP022,Dome Assembly,ESN700003,2022-01-28,2022-11-24,CENTER,NEW,ACTIVE
INV0000122,CSN900122,CMP024,HPT Stage 1 Disk,ESN700003,2021-04-15,2022-08-05,STAGE1,NEW,ACTIVE
INV0000123,CSN900123,CMP025,HPT Stage 2 Disk,ESN700003,2021-03-01,2022-12-23,STAGE2,NEW,ACTIVE
INV0000124,CSN900124,CMP028,HPT Shroud,ESN700003,2022-04-19,2022-09-04,CENTER,NEW,ACTIVE
INV0000125,CSN900125,CMP029,LPT Shaft,ESN700003,2021-10-08,2023-01-03,CENTER,NEW,ACTIVE
INV0000126,CSN900126,CMP030,LPT Stage 1 Disk,ESN700003,2020-10-20,2022-10-17,STAGE1,NEW,ACTIVE
INV0000127,CSN900127,CMP031,LPT Stage 2 Disk,ESN700003,2021-06-09,2022-09-06,STAGE2,NEW,ACTIVE
INV0000128,CSN900128,CMP034,Turbine Rear Frame,ESN700003,2022-01-11,2022-09-14,CENTER,NEW,ACTIVE
INV0000129,CSN900129,CMP035,Fuel Pump,ESN700003,2021-01-01,2022-08-27,CENTER,NEW,ACTIVE
INV0000130,CSN900130,CMP036,Hydromechanical Unit (HMU),ESN700003,2022-07-22,2022-08-29,CENTER,NEW,ACTIVE
INV0000131,CSN900131,CMP037,Fuel Filter,ESN700003,2021-10-10,2022-10-14,CENTER,NEW,ACTIVE
INV0000132,CSN900132,CMP038,Fuel Shutoff Valve,ESN700003,2021-06-17,2023-01-16,CENTER,NEW,ACTIVE
INV0000133,CSN900133,CMP039,Fuel Manifold,ESN700003,2021-01-22,2023-01-22,CENTER,NEW,ACTIVE
INV0000134,CSN900134,CMP040,Ignition Exciter,ESN700003,2022-01-22,2022-09-29,CENTER,NEW,ACTIVE
INV0000135,CSN900135,CMP041,Igniter Plug A,ESN700003,2021-07-23,2022-10-18,A,NEW,ACTIVE
INV0000136,CSN900136,CMP042,Igniter Plug B,ESN700003,2021-01-20,2022-11-08,B,NEW,ACTIVE
INV0000137,CSN900137,CMP043,Variable Bleed Valve (VBV),ESN700003,2020-11-04,2022-09-23,CENTER,NEW,ACTIVE
INV0000138,CSN900138,CMP044,VBV Actuator,ESN700003,2021-05-05,2022-11-29,CENTER,NEW,ACTIVE
INV0000139,CSN900139,CMP045,High Stage Bleed Valve,ESN700003,2021-07-25,2022-12-24,CENTER,NEW,ACTIVE
INV0000140,CSN900140,CMP046,Start Valve,ESN700003,2020-12-28,2022-08-09,CENTER,NEW,ACTIVE
INV0000141,CSN900141,CMP047,Exhaust Nozzle,ESN700003,2022-02-13,2023-01-27,CENTER,NEW,ACTIVE
INV0000142,CSN900142,CMP048,Exhaust Mixer,ESN700003,2022-01-08,2022-08-31,CENTER,NEW,ACTIVE
INV0000143,CSN900143,CMP049,Oil Pump,ESN700003,2020-11-16,2023-01-26,CENTER,NEW,ACTIVE
INV0000144,CSN900144,CMP050,Scavenge Pump,ESN700003,2020-10-11,2022-11-10,CENTER,NEW,ACTIVE
INV0000145,CSN900145,CMP051,Oil Filter,ESN700003,2021-10-01,2022-11-03,CENTER,NEW,ACTIVE
INV0000146,CSN900146,CMP052,Oil Pressure Transmitter,ESN700003,2021-02-19,2022-09-11,CENTER,NEW,ACTIVE
INV0000147,CSN900147,CMP053,Oil Temperature Sensor,ESN700003,2021-06-19,2022-12-27,CENTER,NEW,ACTIVE
INV0000148,CSN900148,CMP054,EGT Thermocouple Harness,ESN700003,2022-06-23,2022-08-24,CENTER,NEW,ACTIVE
INV0000149,CSN900149,CMP055,N1 Speed Sensor,ESN700003,2020-08-27,2022-11-13,CENTER,NEW,ACTIVE
INV0000150,CSN900150,CMP056,N2 Speed Sensor,ESN700003,2021-11-20,2022-10-06,CENTER,NEW,ACTIVE
INV0000151,CSN900151,CMP057,Vibration Sensor,ESN700003,2021-12-28,2022-09-18,CENTER,NEW,ACTIVE
INV0000152,CSN900152,CMP058,Chip Detector,ESN700003,2021-04-08,2022-12-23,CENTER,NEW,ACTIVE
INV0000153,CSN900153,CMP059,Accessory Gearbox,ESN700003,2022-04-15,2022-12-13,CENTER,NEW,ACTIVE
INV0000154,CSN900154,CMP060,Starter,ESN700003,2022-07-28,2022-12-29,CENTER,NEW,ACTIVE
INV0000155,CSN900155,CMP061,Integrated Drive Generator (IDG) Drive Pad,ESN700003,2021-11-08,2022-09-21,CENTER,NEW,ACTIVE
INV0000156,CSN900156,CMP062,Hydraulic Pump Drive Pad,ESN700003,2021-09-05,2022-10-29,CENTER,NEW,ACTIVE
INV0000157,CSN900157,CMP001,Fan Disk,ESN700004,2021-08-08,2022-11-27,CENTER,NEW,ACTIVE
INV0000158,CSN900158,CMP002,Fan Shaft,ESN700004,2021-10-24,2023-03-15,CENTER,NEW,ACTIVE
INV0000159,CSN900159,CMP005,Fan Case,ESN700004,2022-08-07,2023-02-07,CENTER,NEW,ACTIVE
INV0000160,CSN900160,CMP006,Spinner Cone,ESN700004,2021-12-06,2023-01-24,CENTER,NEW,ACTIVE
INV0000161,CSN900161,CMP007,Booster Rotor,ESN700004,2021-06-14,2022-11-19,CENTER,NEW,ACTIVE
INV0000162,CSN900162,CMP009,Booster Stator Assembly,ESN700004,2022-04-30,2022-11-20,CENTER,NEW,ACTIVE
INV0000163,CSN900163,CMP010,Booster Case,ESN700004,2021-03-14,2023-04-14,CENTER,NEW,ACTIVE
INV0000164,CSN900164,CMP011,HPC Stage 1 Disk,ESN700004,2021-01-26,2022-11-16,STAGE1,NEW,ACTIVE
INV0000165,CSN900165,CMP012,HPC Stage 2 Disk,ESN700004,2021-12-04,2023-01-17,STAGE2,NEW,ACTIVE
INV0000166,CSN900166,CMP013,HPC Stage 3 Disk,ESN700004,2021-05-02,2023-01-24,STAGE3,NEW,ACTIVE
INV0000167,CSN900167,CMP014,HPC Stage 4 Disk,ESN700004,2021-08-01,2023-02-11,STAGE4,NEW,ACTIVE
INV0000168,CSN900168,CMP015,HPC Stage 5 Disk,ESN700004,2021-03-28,2023-01-11,STAGE5,NEW,ACTIVE
INV0000169,CSN900169,CMP016,HPC Rotor Shaft,ESN700004,2021-09-04,2023-01-06,CENTER,NEW,ACTIVE
INV0000170,CSN900170,CMP018,Variable Stator Vane Assembly,ESN700004,2022-09-01,2022-11-04,CENTER,NEW,ACTIVE
INV0000171,CSN900171,CMP019,HPC Case,ESN700004,2022-09-20,2022-12-13,CENTER,NEW,ACTIVE
INV0000172,CSN900172,CMP020,Combustor Liner,ESN700004,2022-02-22,2022-12-04,CENTER,NEW,ACTIVE
INV0000173,CSN900173,CMP022,Dome Assembly,ESN700004,2022-02-27,2023-04-07,CENTER,NEW,ACTIVE
INV0000174,CSN900174,CMP024,HPT Stage 1 Disk,ESN700004,2020-11-24,2022-11-24,STAGE1,NEW,ACTIVE
INV0000175,CSN900175,CMP025,HPT Stage 2 Disk,ESN700004,2021-12-15,2023-03-25,STAGE2,NEW,ACTIVE
INV0000176,CSN900176,CMP028,HPT Shroud,ESN700004,2022-04-01,2023-02-06,CENTER,NEW,ACTIVE
INV0000177,CSN900177,CMP029,LPT Shaft,ESN700004,2022-07-25,2023-03-30,CENTER,NEW,ACTIVE
INV0000178,CSN900178,CMP030,LPT Stage 1 Disk,ESN700004,2022-04-22,2022-10-30,STAGE1,NEW,ACTIVE
INV0000179,CSN900179,CMP031,LPT Stage 2 Disk,ESN700004,2021-09-12,2023-04-15,STAGE2,NEW,ACTIVE
INV0000180,CSN900180,CMP034,Turbine Rear Frame,ESN700004,2021-07-11,2023-03-20,CENTER,NEW,ACTIVE
INV0000181,CSN900181,CMP035,Fuel Pump,ESN700004,2022-07-28,2022-12-20,CENTER,NEW,ACTIVE
INV0000182,CSN900182,CMP036,Hydromechanical Unit (HMU),ESN700004,2021-05-15,2023-03-17,CENTER,NEW,ACTIVE
INV0000183,CSN900183,CMP037,Fuel Filter,ESN700004,2021-03-29,2023-02-17,CENTER,NEW,ACTIVE
INV0000184,CSN900184,CMP038,Fuel Shutoff Valve,ESN700004,2022-05-21,2023-03-18,CENTER,NEW,ACTIVE
INV0000185,CSN900185,CMP039,Fuel Manifold,ESN700004,2022-07-07,2022-11-02,CENTER,NEW,ACTIVE
INV0000186,CSN900186,CMP040,Ignition Exciter,ESN700004,2021-03-19,2023-01-27,CENTER,NEW,ACTIVE
INV0000187,CSN900187,CMP041,Igniter Plug A,ESN700004,2022-04-29,2022-11-12,A,NEW,ACTIVE
INV0000188,CSN900188,CMP042,Igniter Plug B,ESN700004,2020-11-26,2022-11-10,B,NEW,ACTIVE
INV0000189,CSN900189,CMP043,Variable Bleed Valve (VBV),ESN700004,2021-08-23,2023-03-06,CENTER,NEW,ACTIVE
INV0000190,CSN900190,CMP044,VBV Actuator,ESN700004,2022-05-02,2023-02-14,CENTER,NEW,ACTIVE
INV0000191,CSN900191,CMP045,High Stage Bleed Valve,ESN700004,2021-08-15,2023-01-13,CENTER,NEW,ACTIVE
INV0000192,CSN900192,CMP046,Start Valve,ESN700004,2020-11-02,2022-12-15,CENTER,NEW,ACTIVE
INV0000193,CSN900193,CMP047,Exhaust Nozzle,ESN700004,2022-08-28,2023-03-02,CENTER,NEW,ACTIVE
INV0000194,CSN900194,CMP048,Exhaust Mixer,ESN700004,2022-10-09,2022-10-29,CENTER,NEW,ACTIVE
INV0000195,CSN900195,CMP049,Oil Pump,ESN700004,2021-02-11,2023-01-31,CENTER,NEW,ACTIVE
INV0000196,CSN900196,CMP050,Scavenge Pump,ESN700004,2021-04-12,2022-12-24,CENTER,NEW,ACTIVE
INV0000197,CSN900197,CMP051,Oil Filter,ESN700004,2022-09-02,2023-04-05,CENTER,NEW,ACTIVE
INV0000198,CSN900198,CMP052,Oil Pressure Transmitter,ESN700004,2021-09-30,2023-04-13,CENTER,NEW,ACTIVE
INV0000199,CSN900199,CMP053,Oil Temperature Sensor,ESN700004,2021-08-29,2023-03-08,CENTER,NEW,ACTIVE
INV0000200,CSN900200,CMP054,EGT Thermocouple Harness,ESN700004,2021-04-15,2022-11-01,CENTER,NEW,ACTIVE
INV0000201,CSN900201,CMP055,N1 Speed Sensor,ESN700004,2022-05-27,2022-11-11,CENTER,NEW,ACTIVE
INV0000202,CSN900202,CMP056,N2 Speed Sensor,ESN700004,2021-07-21,2023-02-18,CENTER,NEW,ACTIVE
INV0000203,CSN900203,CMP057,Vibration Sensor,ESN700004,2020-10-24,2022-12-05,CENTER,NEW,ACTIVE
INV0000204,CSN900204,CMP058,Chip Detector,ESN700004,2022-09-13,2023-02-06,CENTER,NEW,ACTIVE
INV0000205,CSN900205,CMP059,Accessory Gearbox,ESN700004,2021-05-28,2023-04-08,CENTER,NEW,ACTIVE
INV0000206,CSN900206,CMP060,Starter,ESN700004,2022-05-27,2023-01-29,CENTER,NEW,ACTIVE
INV0000207,CSN900207,CMP061,Integrated Drive Generator (IDG) Drive Pad,ESN700004,2021-04-25,2022-11-27,CENTER,NEW,ACTIVE
INV0000208,CSN900208,CMP062,Hydraulic Pump Drive Pad,ESN700004,2021-02-18,2023-01-19,CENTER,NEW,ACTIVE
INV0000209,CSN900209,CMP001,Fan Disk,ESN700005,2021-03-08,2022-11-24,CENTER,NEW,ACTIVE
INV0000210,CSN900210,CMP002,Fan Shaft,ESN700005,2021-06-03,2023-03-28,CENTER,NEW,ACTIVE
INV0000211,CSN900211,CMP005,Fan Case,ESN700005,2021-05-29,2023-02-17,CENTER,NEW,ACTIVE
INV0000212,CSN900212,CMP006,Spinner Cone,ESN700005,2021-06-01,2023-04-11,CENTER,NEW,ACTIVE
INV0000213,CSN900213,CMP007,Booster Rotor,ESN700005,2022-09-02,2023-04-15,CENTER,NEW,ACTIVE
INV0000214,CSN900214,CMP009,Booster Stator Assembly,ESN700005,2021-03-09,2023-04-24,CENTER,NEW,ACTIVE
INV0000215,CSN900215,CMP010,Booster Case,ESN700005,2021-12-07,2022-11-11,CENTER,NEW,ACTIVE
INV0000216,CSN900216,CMP011,HPC Stage 1 Disk,ESN700005,2021-01-09,2022-12-21,STAGE1,NEW,ACTIVE
INV0000217,CSN900217,CMP012,HPC Stage 2 Disk,ESN700005,2021-04-12,2022-11-10,STAGE2,NEW,ACTIVE
INV0000218,CSN900218,CMP013,HPC Stage 3 Disk,ESN700005,2022-08-08,2022-11-06,STAGE3,NEW,ACTIVE
INV0000219,CSN900219,CMP014,HPC Stage 4 Disk,ESN700005,2021-03-11,2023-01-20,STAGE4,NEW,ACTIVE
